18409 3248441851
47 43 2410747
47 14 8255817
47 34 4355096
47 56 5345043
47 13 3618584
48 74 7396320
48 74 5622194
48 87 8439956
48 69 7661057
48 83 57239
48 81 1764563
48 66 7291432
48 24 7016560
48 39 9668548
48 87 8348229
48 30 5706187
48 57 1048022
48 69 6976671
48 61 3651386
48 79 5992419
48 16 6415578
48 92 6183952
48 89 8728948
48 85 9306487
48 92 5264607
48 76 8448704
48 22 153769
48 84 3426154
48 29 3596927
48 26 4505232
48 60 6561360
48 14 4354811
48 16 1553000
48 94 6370926
49 26 7015851
49 95 7513728
49 89 4621144
49 88 9708004
49 95 2939353
49 58 2757520
49 93 8984381
49 14 2450236
49 62 9917889
49 72 356322
49 20 8389619
49 88 6174352
49 44 10241491
49 19 9088388
49 63 1784733
49 13 8234317
50 32 3568747
50 23 9385238
50 55 7032615
50 66 7588501
50 25 2874408
50 57 3445118
50 61 8010079
50 65 7067546
50 11 5598303
50 58 9807056
50 81 6731316
50 62 6778752
50 43 9981990
50 16 8371522
50 86 9883582
50 16 5080202
50 78 338865
50 53 681204
51 70 5754457
51 66 4353120
51 96 2822104
51 29 8150967
51 99 4807756
51 58 6439400
51 37 9859129
51 41 694413
51 93 5446311
51 51 9590916
51 100 9380991
51 93 5424937
51 29 5734132
52 45 11042139
52 68 3460026
52 48 505249
52 23 3162132
52 55 3964470
52 63 3316067
52 17 7972584
52 31 10913513
52 43 5884498
52 16 3079337
52 21 5666176
52 29 5684679
52 71 4728230
52 19 7497625
52 40 6101045
52 19 4874655
52 72 10733081
52 70 2885721
52 37 8281181
52 100 2117544
52 31 7727883
52 76 8776001
52 93 8503130
52 33 7219944
52 49 2070405
52 99 5989746
53 53 10405786
53 31 187000
53 35 8193638
53 21 8002251
53 89 1771756
53 70 7913556
53 94 9090470
53 29 3090405
53 25 3442573
53 40 9691724
53 10 4156562
53 52 9084083
54 65 7363235
54 22 9715831
54 64 8726803
54 96 5785405
54 54 1274116
54 69 2835667
54 87 4461780
54 73 4139587
54 31 793248
54 91 7566596
54 45 1573691
54 97 10935220
54 58 10896642
54 76 8202463
54 35 6921831
54 34 10722133
54 52 2705727
54 40 8037446
54 88 8190421
54 50 2930859
54 90 814611
54 17 107137
54 85 6223163
54 37 6367635
54 70 10293299
54 51 5381208
54 31 3120963
54 96 9447428
55 25 9072942
55 79 9038271
55 83 4247682
55 38 2797408
55 89 10971964
55 30 1128617
55 80 526704
55 78 1659077
55 34 3485410
55 83 5272181
55 77 9204747
55 63 10510251
55 25 1543816
55 26 8836478
55 42 502068
55 87 2555544
55 46 8986663
55 87 311171
55 96 7169880
55 40 8135462
55 75 10961687
55 80 4746521
56 68 6477724
56 82 7843906
56 10 2287670
56 45 6736361
56 22 1743691
56 82 9015260
56 66 2236776
56 85 1008618
56 54 8553553
56 17 4020227
56 85 8388909
56 16 7861570
56 58 3924437
56 95 973403
56 13 5865258
56 33 5467968
56 14 5254799
57 20 3760417
57 85 10899160
57 80 351275
57 49 9956003
57 34 1382571
57 94 4871230
57 11 3947494
57 92 11013456
57 77 8369090
57 21 7052834
57 72 3150186
57 15 758420
57 72 281278
57 76 6420429
57 62 1608216
57 53 592222
57 75 4044961
57 74 10972632
57 96 1906554
57 12 5709848
57 64 3647305
57 46 1136810
57 20 2008412
57 85 8733827
58 28 8741944
58 98 5465969
58 56 8193237
58 56 9682853
58 79 7119629
58 72 4745969
58 92 2977137
58 41 11040848
58 31 8632146
58 26 10665439
58 73 2482511
58 61 9577057
58 72 3176833
58 34 5348147
58 59 7419251
58 64 8772979
58 47 1078692
59 100 10620965
59 59 11068934
59 51 10246177
59 43 9933827
59 45 4587740
59 71 11112176
59 78 6499386
59 45 5090874
59 66 2611601
59 55 7134707
59 53 2433305
59 56 6187755
59 21 5402653
59 21 4547899
59 67 7245589
59 67 10254946
59 71 9467513
60 31 3444370
60 95 9459696
60 23 7732465
60 47 9871829
60 50 7397281
60 20 10370271
60 61 5738471
60 41 258421
60 63 8515968
60 57 2305390
60 40 11082673
61 66 6590094
61 62 10595543
61 42 9325509
61 14 9582906
61 41 290856
61 11 10479356
61 67 6372716
61 85 2867583
61 89 9159294
61 94 3509494
61 39 7810624
61 97 10659666
61 96 3445194
61 34 674659
61 68 9468906
61 72 6384856
61 65 11151130
61 37 9392479
61 77 9676202
61 95 11089798
61 87 6324241
61 88 8644043
61 12 9053715
61 95 4007994
61 80 1531316
61 81 1084495
61 99 1953616
62 35 9873106
62 66 124683
62 34 5463305
62 71 10258028
62 71 9114001
62 32 8709008
62 88 1292170
62 59 3789617
62 90 6963520
62 69 7992072
62 74 11065419
62 56 9838794
62 87 10950565
63 56 8977774
63 65 6256349
63 83 6792391
63 31 4742568
63 42 4178806
63 48 7776304
63 33 3654873
63 54 5290304
63 80 6967683
63 20 8468629
64 42 1204703
64 30 1798564
64 100 9109038
64 58 10137934
64 28 5368085
64 59 1532864
64 97 3261109
64 14 5929288
65 98 5794753
65 80 2459873
65 85 1924628
65 84 9326499
65 70 2796974
65 81 1624939
65 41 5123770
65 34 6533545
65 99 4335962
65 92 601970
65 54 450978
65 97 5356002
66 77 8868740
66 81 1046826
66 39 2360587
66 59 4415545
66 82 3156504
66 99 7668544
66 51 8552283
66 42 6553729
66 58 2042360
66 85 3146326
66 96 5380413
66 32 9680438
66 32 8417467
66 89 7644509
66 96 8215766
66 91 3553173
66 98 9358952
66 84 1988606
66 53 7872207
66 25 4425013
66 83 9319961
66 45 9882224
66 37 1895310
66 24 9127903
66 18 8050972
66 15 7286490
66 36 5011982
67 35 7039069
67 16 2922535
67 18 552382
67 62 1274667
67 98 6803878
67 55 2515525
67 90 2086194
68 61 9683579
68 100 2716909
68 35 10288238
68 98 7283921
68 64 634712
68 89 7883902
68 47 6960719
68 74 5847463
68 63 6831881
68 58 7901953
68 93 10915133
68 41 6205552
68 21 413810
68 74 1486240
68 30 7226073
68 38 1158702
68 72 1178078
68 96 134726
68 47 2776047
68 35 2534273
68 82 7918199
68 87 2393289
68 67 1429708
68 27 10857505
69 31 8069467
69 88 3853350
69 78 10332172
69 69 851699
69 81 6925394
69 96 455841
69 15 7160176
69 32 8419101
69 13 5277364
69 70 6399950
69 37 5383416
69 82 7584337
69 25 3152175
70 91 5326221
70 13 1866342
70 73 2434278
70 11 9497163
70 44 5914872
70 59 3085893
70 22 2856592
70 92 8772155
70 25 4311708
70 30 3781084
70 90 10746634
70 40 474674
70 24 6486152
70 95 10457344
70 34 5229150
70 95 435184
70 84 804006
70 90 5479256
70 49 5138186
70 26 490699
70 66 9900639
70 14 507077
70 41 6677508
70 28 5743265
70 11 9181711
70 47 5953633
70 44 8432121
70 62 2281775
70 84 717906
70 11 7321138
71 33 783196
71 46 10061475
71 85 3080838
71 79 9626057
71 93 987553
71 91 9843509
71 50 1622535
71 48 5325589
71 63 2401624
71 17 1387247
71 20 2177196
71 26 651135
71 29 1982492
71 42 2374938
71 22 7852107
72 92 5521174
72 91 1861571
72 86 548477
72 72 3223337
72 84 9776196
72 97 4488292
72 58 3449456
72 39 6409723
72 65 9171276
72 62 138775
72 91 1299628
73 84 693643
73 66 9742788
73 39 10908188
73 18 7757767
73 92 4180457
73 79 2831787
73 94 5694040
73 37 6631849
74 93 2118601
74 63 755463
74 26 10976930
74 75 8398512
74 21 10837295
74 72 6366957
74 86 1810769
74 83 4785510
75 29 6997906
75 88 9384946
75 98 4579356
75 18 1625564
75 92 2542951
75 70 9481992
75 100 6629667
75 42 6716613
75 42 10578567
75 90 9073283
75 66 1536395
75 63 5179902
75 81 8114144
75 24 7259715
75 60 8794241
75 19 4742744
76 94 1888826
76 61 6576737
76 55 5551323
76 15 8170127
76 42 3111416
76 50 7177819
76 46 8862348
76 51 8250546
76 69 1947863
76 77 3127618
76 98 790540
76 99 10518115
76 93 9658562
76 32 10157245
76 82 938216
76 21 1909870
76 14 4580258
76 59 1970620
76 71 2744918
76 35 5922781
76 44 5513673
76 100 11178435
76 87 7925206
76 28 3840241
76 96 5715779
76 96 1572359
76 88 9624605
76 62 11156043
76 21 9625046
77 97 5764548
77 53 3338021
77 75 1015175
77 29 8504879
77 46 3756701
77 20 225843
77 16 7575420
77 17 10132168
77 28 9719470
77 68 6211356
77 69 5644208
77 68 7773021
78 47 8467501
78 32 6238984
78 16 178923
78 33 1910714
78 89 741500
78 52 4410882
78 65 10538022
78 46 4741843
78 91 7077094
78 48 7297232
79 18 3372197
79 43 5318777
79 56 3164371
79 78 4090870
79 84 275832
79 66 5791864
80 41 11056410
80 78 4198847
80 39 1651945
80 29 6505486
80 43 8075256
80 71 3989510
80 48 7388134
80 95 7755964
80 64 9718938
80 94 7479271
80 39 7791423
80 71 10959441
80 61 9336043
80 98 10989813
80 17 8944196
80 17 8852174
80 35 2218988
80 28 4664319
80 24 9275444
80 49 10991880
80 79 5863444
80 89 2437663
80 11 8368609
80 46 7282766
81 32 7603819
81 84 5130652
81 23 5750692
81 18 11183663
81 39 2639344
81 69 4563083
81 29 4289622
82 52 6558099
82 93 10858246
82 48 11098729
82 25 8034283
82 64 1934572
82 59 9406099
82 47 6761507
82 97 2816708
82 69 10469090
82 48 10397564
82 69 11054990
82 64 10342798
82 69 10330878
82 71 3275283
82 15 7480881
82 84 900564
82 90 986326
82 33 7960803
82 46 8743794
82 93 3259705
82 20 7193938
82 20 5914395
82 42 1952031
82 47 1142672
82 53 9183025
82 28 6490769
82 29 9727007
82 23 1042592
83 52 5028027
83 99 4346488
83 83 3929802
83 69 7621790
83 38 526835
83 56 9764782
83 44 9534770
83 58 7513461
83 27 7367549
84 56 3024925
84 15 8696613
84 61 9486505
84 83 4783005
84 14 9615178
84 48 5242806
84 59 3523820
84 74 3047812
84 13 7779120
85 90 6492117
85 76 2448830
85 50 7563303
85 32 7745630
85 44 7066613
85 32 3662385
85 61 6855253
85 10 9304676
85 60 2407737
85 63 2715574
85 10 7863364
85 83 11112751
85 14 1763818
85 20 3074407
86 64 9273194
86 41 9906638
86 65 4118637
86 37 10547853
86 79 1152592
86 57 1645245
86 81 7402586
86 54 6927275
86 40 2456566
86 89 5329008
86 70 10206671
86 66 6245289
86 34 3385175
86 65 10942383
86 67 4821696
86 81 4732457
86 42 7309342
86 30 1484884
86 10 2451427
86 94 1106311
86 90 859953
86 74 10508990
86 11 1978174
86 78 7968711
86 52 77854
86 23 6168482
86 78 8658970
86 64 10807835
87 65 10854098
87 13 2418441
87 19 9959377
87 44 8942441
87 85 8921636
87 50 1289772
87 53 6422324
87 67 11005920
87 83 2655204
87 94 1994265
87 68 8896073
87 70 1984676
87 49 1112412
87 64 11228001
87 42 9535678
87 15 8534681
87 71 8642897
87 36 5172813
87 20 7480738
87 66 10103915
87 21 173072
87 21 6394115
87 62 7077977
87 19 3492667
87 47 5596660
87 52 9543736
87 16 11112356
87 48 9750334
87 41 6644780
87 13 9197101
88 39 4001684
88 54 3315228
88 21 7985872
88 26 5407517
88 27 6325535
88 77 4635264
88 97 10605605
88 90 4794078
88 46 5531924
88 20 10311617
88 48 10934251
88 80 3908088
88 33 7066509
88 93 4893365
89 44 5381048
89 40 1154629
89 45 774424
89 56 3943148
89 20 451968
89 72 3989522
89 97 6967128
89 74 8854885
89 90 3939679
89 93 3765646
89 92 5234672
89 36 3506825
89 85 5680220
89 44 4682641
89 99 2915669
90 79 10952948
90 12 11200320
90 50 2709161
90 19 5259714
90 31 746887
90 61 4396564
90 45 1444746
90 47 7975602
91 54 2916555
91 36 3447351
91 52 9364039
91 11 5432383
91 46 8142651
91 96 7912421
91 26 4507490
91 44 8222848
91 26 4463861
91 64 7637418
91 52 8074507
91 78 8255124
92 14 4489565
92 44 1282362
92 42 4053452
92 74 7612623
92 68 4070517
92 98 1130563
92 85 2886923
92 70 1018142
92 23 10533284
92 45 2671361
92 86 8827274
92 31 226830
92 15 5524556
92 60 1083523
92 37 3174295
92 90 6749816
92 90 6460698
93 52 530140
93 83 5791278
93 11 2942630
93 75 9659747
93 80 220119
93 18 10431051
93 47 2105757
93 72 9861063
93 40 4509188
93 79 10910287
93 32 3241837
93 29 526946
93 45 1855465
93 22 6896590
93 12 4036971
93 79 3608437
93 53 3668067
93 43 572846
93 18 7564519
93 40 126163
93 30 5445070
93 24 9566243
93 68 2738333
94 55 10085128
94 54 2738997
94 51 1693710
94 82 250675
94 69 5537870
94 29 10904243
94 79 8679496
94 81 10876139
94 100 1528445
94 15 1973698
94 59 6166848
94 25 7092983
94 71 7669055
95 87 10651118
95 43 175027
95 27 10852845
95 50 8736215
95 72 6485819
95 86 8996889
95 94 4355114
95 79 154615
95 72 510974
95 94 6125695
95 60 3377052
95 68 9924462
95 36 4237342
95 57 9085355
95 34 7297745
95 65 1551848
95 26 4255345
96 35 3460167
96 80 5734745
96 85 8679952
96 17 4750062
96 48 7362252
96 84 11062072
96 95 8082077
96 48 5358290
96 80 10766136
96 63 5071944
96 36 7407681
96 46 4892678
96 80 6622251
96 47 6431661
96 60 9258233
96 23 1810877
96 89 10089215
96 64 3314566
96 86 4405213
97 99 5635343
97 52 758364
97 32 3471864
97 46 5115975
97 66 8759105
97 76 999233
97 84 2300737
97 34 3933098
97 62 6383750
97 52 174553
97 92 2115352
97 29 7555448
97 28 4621745
97 70 1618443
97 13 11222094
97 59 2175203
97 69 8317430
97 84 6434857
97 76 2719837
97 90 1045377
97 66 5995289
97 50 5267414
97 34 2973173
97 42 3142900
97 99 7074366
97 47 5933722
97 55 9319387
97 30 7110803
98 22 10350832
98 17 10382959
98 36 4212016
98 49 9821957
98 31 8720568
98 79 8320200
98 59 4358399
98 28 5453604
98 58 1438139
98 59 6051787
98 49 6916080
99 29 1271145
99 45 5387161
99 84 1868174
99 45 988673
99 81 4956199
99 23 351362
99 87 6799926
99 58 8602305
99 33 9409936
99 48 8263419
100 62 6778902
100 69 7728442
100 16 7672874
100 39 2841612
100 51 7558864
100 95 437728
100 81 4446816
100 67 8397972
100 44 4958055
100 79 7650366
100 92 10495148
100 70 10346666
100 67 6080156
